HOECHST0,HOECHST1,HOECHST2,HOECHST3,HOECHST4,HOECHST5,HOECHST6,HOECHST7,HOECHST8,HOECHST9,A488_0,A488_1,Ki67,CD45RB,CD4,CD163,CD11b,IBA1,CD19,LaminAC,A555_0,LAG3,Keratin,CD3,CD45,CD68,FOXP3,ASMA,GFAP,BANF1,A647_0,Arl13b,PD1,PDL1,CD8A,CD14,CD21,CD20,gTubulin,LaminB,AREA,CIRC,X,Y,frame,COLS,ROWS,Xt,Yt
16305.572,20368.413,12091.979,8147.683,3233.135,2692.851,35966.368,12071.263,9148.683,11047.528,446.823,1292.267,422.95,1042.604,4640.459,31722.467,4070.597,8097.471,391.79,429.028,153.051,2342.929,206.759,248.237,771.723,15706.972,236.442,92.134,6997.666,328.356,76.544,2262.988,2416.539,356.002,2488.264,13185.812,4676.149,276.905,551.494,12634.237,133.933,0.878,293.373,300.98,1,1,1,293.373,300.98
14954.676,18998.075,11310.813,7678.455,3007.25,2486.303,35674.477,11455.285,8487.983,10661.195,462.168,1162.463,345.837,885.264,2304.559,15023.726,3151.922,7600.777,466.084,728.001,143.989,1411.335,329.727,174.949,751.121,3409.251,169.252,80.813,13111.379,252.199,74.896,1683.509,1636.968,478.99,5150.77,7365.464,3159.392,279.839,552.044,11891.757,103.618,0.88,266.336,313.491,1,1,1,266.336,313.491
12183.142,15873.547,9520.435,6364.401,2663.358,2221.12,33298.284,10747.398,8500.962,10209.872,327.338,850.136,275.18,569.221,3115.199,39351.703,2072.896,8222.356,247.879,1798.511,133.352,1448.059,85.874,184.218,820.616,8971.486,180.405,446.989,5210.368,264.105,64.364,1325.338,1420.304,189.402,924.49,16379.634,2007.869,137.915,363.03,8091.237,111.012,0.888,348.421,319.361,1,1,1,348.421,319.361
14299.198,17363.944,10585.777,7010.445,2871.833,2247.292,31843.914,11310.107,9594.472,12165.534,478.524,1262.856,404.81,630.813,3974.874,26092.578,2425.83,11123.666,432.037,565.644,157.684,2243.798,257.535,198.192,918.603,4023.11,231.369,294.143,8301.018,365.021,70.868,2043.06,2306.667,394.218,5191.116,17528.858,4199.96,242.511,635.626,10684.515,132.559,0.883,174.866,319.595,1,1,1,174.866,319.595
12155.885,16150.37,9720.275,6239.364,2667.72,2136.263,31441.3,10798.221,8851.902,11911.58,408.328,1006.512,307.984,1035.866,3992.689,19227.591,3176.292,9568.106,492.857,188.216,126.313,1523.571,1751.42,169.955,819.658,6748.788,202.065,159.538,17647.49,324.468,63.949,1486.896,1549.129,385.03,2965.129,12172.537,4011.823,177.981,603.75,15080.694,67.917,0.897,301.333,322.87,1,1,1,301.333,322.87
15416.175,20413.619,12285.978,8020.396,3307.467,2582.155,36057.943,12815.381,10442.125,13707.988,486.906,1394.195,400.809,894.415,2461.754,16739.654,3118.585,6435.806,394.323,1936.151,171.939,1567.626,306.699,204.886,495.703,18706.861,195.233,222.115,3823.218,341.178,72.074,1439.818,1532.394,238.076,2523.313,8375.409,3019.598,128.561,461.077,13521.128,141.221,0.896,274.625,327.44,1,1,1,274.625,327.44
14637.536,18741.488,11076.636,7333.404,2992.69,2436.489,35199.854,12035.733,10483.61,13221.54,351.326,977.293,308.974,1334.971,4189.718,25494.14,4431.839,12586.968,536.508,200.077,117.285,1814.031,1200.946,175.016,1027.712,12960.112,219.882,158.771,18255.752,430.356,69.012,1630.933,1743.111,409.796,2933.75,16047.339,3617.939,189.02,549.728,14583.849,113.019,0.905,306.207,326.644,1,1,1,306.207,326.644
13334.169,16615.446,10205.899,6264.584,2765.501,2178.036,31304.292,10624.3,9277.938,10563.591,429.516,1046.538,772.076,678.816,1276.068,3646.163,13100.117,2034.533,210.21,1165.96,145.863,1390.664,120.573,173.666,1364.581,557.301,278.064,60.38,1115.09,248.679,63.56,1550.488,1253.501,220,2707.819,4100.793,1825.543,144.694,257.879,4272.797,139.108,0.886,9.977,328.092,1,1,1,9.977,328.092
5795.483,8633.42,5107.238,2830.148,1494.907,1049.466,16729.641,5437.354,4734.188,5912.401,74.167,458.549,197.407,828.46,3426.924,14910.711,3372.124,5594.449,81.376,109.156,44.61,1776.741,493,97.759,718.759,14372.2,117.038,1140.696,345.791,218.854,52.677,1333.426,1345.968,173.73,1707.648,8171.331,2220.095,111.88,369.734,10823.485,50.066,0.921,32.372,328.054,1,1,1,32.372,328.054
12807.654,15701.272,9033.542,5722.479,2364.048,1954.153,27732.888,8428.94,6050.538,7286.011,348.898,1166.201,418.471,1295.994,5189.67,25426.32,5493.507,10947.004,297.687,213.05,131.246,2574.404,125.542,221.669,1031.68,23859.667,211.804,658.622,3780.108,288.907,64.309,1804.242,2040.318,343.488,1839.555,20347.942,4056.698,149.03,528.184,9887.98,56.721,0.903,97.189,334.102,1,1,1,97.189,334.102
